Date,Years,Months,Values
1/1/2000,2000,January,0
2/1/2000,2000,February,0
3/1/2000,2000,March,0
4/1/2000,2000,April,0
5/1/2000,2000,May,0
6/1/2000,2000,June,0
7/1/2000,2000,July,565
8/1/2000,2000,August,2290
9/1/2000,2000,September,951
10/1/2000,2000,October,835
11/1/2000,2000,November,724
12/1/2000,2000,December,186
1/1/2001,2001,January,0
2/1/2001,2001,February,0
3/1/2001,2001,March,0
4/1/2001,2001,April,0
5/1/2001,2001,May,5
6/1/2001,2001,June,24
7/1/2001,2001,July,152
8/1/2001,2001,August,310
9/1/2001,2001,September,655
10/1/2001,2001,October,611
11/1/2001,2001,November,514
12/1/2001,2001,December,159
1/1/2002,2002,January,0
2/1/2002,2002,February,0
3/1/2002,2002,March,0
4/1/2002,2002,April,0
5/1/2002,2002,May,0
6/1/2002,2002,June,0
7/1/2002,2002,July,566
8/1/2002,2002,August,3281
9/1/2002,2002,September,1713
10/1/2002,2002,October,541
11/1/2002,2002,November,121
12/1/2002,2002,December,10
1/1/2003,2003,January,0
2/1/2003,2003,February,0
3/1/2003,2003,March,0
4/1/2003,2003,April,2
5/1/2003,2003,May,1
6/1/2003,2003,June,0
7/1/2003,2003,July,4
8/1/2003,2003,August,4
9/1/2003,2003,September,3
10/1/2003,2003,October,0
11/1/2003,2003,November,372
12/1/2003,2003,December,100
1/1/2004,2004,January,0
2/1/2004,2004,February,0
3/1/2004,2004,March,1
4/1/2004,2004,April,0
5/1/2004,2004,May,1
6/1/2004,2004,June,143
7/1/2004,2004,July,1209
8/1/2004,2004,August,1261
9/1/2004,2004,September,511
10/1/2004,2004,October,362
11/1/2004,2004,November,395
12/1/2004,2004,December,51
1/1/2005,2005,January,1
2/1/2005,2005,February,0
3/1/2005,2005,March,0
4/1/2005,2005,April,0
5/1/2005,2005,May,0
6/1/2005,2005,June,2
7/1/2005,2005,July,3
8/1/2005,2005,August,174
9/1/2005,2005,September,337
10/1/2005,2005,October,325
11/1/2005,2005,November,187
12/1/2005,2005,December,19
1/1/2006,2006,January,0
2/1/2006,2006,February,0
3/1/2006,2006,March,0
4/1/2006,2006,April,0
5/1/2006,2006,May,0
6/1/2006,2006,June,100
7/1/2006,2006,July,972
8/1/2006,2006,August,680
9/1/2006,2006,September,211
10/1/2006,2006,October,145
11/1/2006,2006,November,92
12/1/2006,2006,December,0
1/1/2007,2007,January,0
2/1/2007,2007,February,0
3/1/2007,2007,March,0
