YEAR,MO,DY,WSA,TA,DA,RHA,RA,PSA,Deng,Season
2000,1,1,1.474333333,18.33866667,9.213548387,59.04516129,0.273548387,101.2480645,0,winter
2000,2,1,1.623666667,20.28633333,7.788666667,49.47033333,0.894,101.1273333,0,winter
2000,3,1,1.911290323,25.43096774,12.75322581,52.02516129,2.845806452,100.7851613,0,winter
2000,4,1,1.46516129,29.62366667,21.16933333,65.28333333,5.794666667,100.3686667,0,summer
2000,5,1,2.201612903,28.67774194,24.65709677,80.64709677,14.88451613,100.2380645,0,summer
2000,6,1,2.670666667,28.35166667,26.28366667,88.95833333,7.453333333,99.99733333,0,summer
2000,7,1,2.912258065,28.33419355,26.12935484,88.31225806,5.881935484,99.89354839,565,monsoon
2000,8,1,2.478709677,28.0983871,26.15483871,89.55258065,13.26774194,100.0570968,2290,monsoon
2000,9,1,2.079,27.09833333,25.17466667,89.59366667,6.391,100.3683333,951,monsoon
2000,10,1,1.341,26.53193548,23.35709677,83.63,6.677419355,100.6341935,835,monsoon
2000,11,1,1.092333333,22.36233333,17.80966667,76.74633333,0.137666667,101.1303333,724,winter
2000,12,1,1.133548387,18.17064516,11.7183871,68.32870968,0.00483871,101.2758065,186,winter
2001,1,1,1.443225806,16.38612903,6.952580645,56.78387097,0.002580645,101.2041935,0,winter
2001,2,1,1.429666667,21.75535714,8.29,46.08107143,1.298571429,100.9546429,0,winter
2001,3,1,1.650322581,26.57483871,10.41612903,41.35193548,0.729032258,100.8106452,0,winter
2001,4,1,2.320666667,30.85066667,17.35433333,49.73333333,2.552333333,100.5543333,0,summer
2001,5,1,2.244193548,28.76516129,24.7483871,80.47064516,11.52290323,100.1951613,5,summer
2001,6,1,3.207333333,27.954,26.138,90.15233333,15.80666667,99.888,24,summer
2001,7,1,3.159032258,28.08096774,26.27709677,90.19354839,8.788064516,99.92870968,152,monsoon
2001,8,1,2.297419355,28.3216129,26.40387097,89.68967742,6.419677419,100.0506452,310,monsoon
2001,9,1,1.809666667,27.94233333,25.39966667,86.64633333,7.056666667,100.414,655,monsoon
2001,10,1,1.184193548,26.45645161,23.76806452,85.82225806,6.586774194,100.7864516,611,monsoon
2001,11,1,1.169666667,22.658,18.67333333,79.45366667,0.935666667,101.2436667,514,winter
2001,12,1,1.200967742,17.80483871,11.96967742,71.16516129,0.142580645,101.5232258,159,winter
2002,1,1,1.379354839,18.63516129,10.40419355,61.69096774,0.453548387,101.3777419,0,winter
2002,2,1,1.494666667,21.87166667,8.422,45.62333333,0.042666667,101.3416667,0,winter
2002,3,1,1.673548387,26.88709677,12.52612903,45.93096774,2.327096774,100.8651613,0,winter
2002,4,1,2.431,29.47533333,20.54066667,62.47566667,4.954333333,100.5986667,0,summer
2002,5,1,2.572580645,29.92290323,24.20806452,73.98096774,7.293870968,100.1580645,0,summer
2002,6,1,2.864333333,28.47633333,26.19833333,88.02766667,12.50066667,100.0366667,0,summer
2002,7,1,2.69516129,28.51741935,26.73677419,90.36322581,13.50451613,99.89032258,566,monsoon
2002,8,1,2.431935484,27.69709677,25.95387097,90.48903226,8.439677419,100.1054839,3281,monsoon
2002,9,1,1.723,27.28733333,25.08166667,88.23366667,5.837333333,100.521,1713,monsoon
2002,10,1,1.299354839,25.63096774,22.20354839,82.27064516,1.810322581,100.8819355,541,monsoon
2002,11,1,1.253333333,22.53733333,18.34333333,78.60166667,4.293333333,101.129,121,winter
2002,12,1,1.190645161,18.86580645,13.46774194,72.87322581,0.433870968,101.3680645,10,winter
2003,1,1,1.508064516,16.19774194,8.585483871,64.11096774,0.785806452,101.5187097,0,winter
2003,2,1,1.526333333,21.674,12.37333333,58.71366667,1.112333333,101.249,0,winter
2003,3,1,1.539354839,25.01096774,14.32064516,55.93322581,3.390322581,100.9806452,0,winter
2003,4,1,2.313666667,29.73966667,21.48833333,65.16266667,4.38,100.607,2,summer
2003,5,1,2.362258065,30.59741935,22.91709677,66.74,4.820645161,100.2658065,1,summer
2003,6,1,3.576333333,28.80133333,25.88133333,85.66233333,17.58766667,99.84,0,summer
2003,7,1,2.819032258,28.43064516,26.43774194,89.30806452,5.963548387,100.11,4,monsoon
2003,8,1,2.532903226,28.62225806,26.34032258,87.96774194,6.004516129,100.1206452,4,monsoon
2003,9,1,1.691333333,27.737,25.63466667,88.73,6.810333333,100.381,3,monsoon
2003,10,1,1.337741935,26.39967742,23.54290323,84.93419355,4.940645161,100.8829032,0,monsoon
2003,11,1,1.228333333,21.69366667,17.42466667,78.45,0.253666667,101.2546667,372,winter
2003,12,1,1.435806452,18.75387097,14.04354839,76.45774194,1.217741935,101.463871,100,winter
2004,1,1,1.488064516,17.67709677,10.82516129,67.3283871,0.116451613,101.3809677,0,winter
2004,2,1,1.473333333,21.15466667,9.996666667,53.21233333,0.130333333,101.1856667,0,winter
2004,3,1,1.473333333,21.15466667,9.996666667,53.21233333,0.130333333,101.1856667,1,winter
2004,4,1,2.836666667,29.181,21.849,67.877,7.631333333,100.551,0,summer
2004,5,1,2.495806452,30.63258065,23.19967742,67.93096774,4.298064516,100.1770968,1,summer
2004,6,1,2.388666667,29.1,25.495,82.14166667,11.84833333,100.091,143,summer
2004,7,1,2.924193548,27.93677419,26.04387097,89.76870968,13.35870968,100.0822581,1209,monsoon
2004,8,1,2.613548387,28.12548387,26.25387097,89.88935484,7.001612903,100.0054839,1261,monsoon
2004,9,1,2.104333333,27.02333333,25.27866667,90.45266667,19.80866667,100.531,511,monsoon
2004,10,1,1.602258065,25,22.27903226,85.62322581,6.243870968,101.0864516,362,monsoon
2004,11,1,1.06,21.53433333,17.385,78.59733333,0.034666667,101.323,395,winter
